ID,NAME,ABBR,GEOM0LAT,GEOM0LON,GEOM0BBOX,GEOM0AREA,LINEAGE0COUNTRY0ID,LINEAGE0COUNTRY0NAME,LINEAGE0COUNTRY0ABBR,LINEAGE0MACROREGION0ID,LINEAGE0MACROREGION0NAME,LINEAGE0MACROREGION0ABBR,LINEAGE0REGION0ID,LINEAGE0REGION0NAME,LINEAGE0REGION0ABBR,LINEAGE0LOCALADMIN0ID,LINEAGE0LOCALADMIN0NAME,LINEAGE0LOCALADMIN0ABBR,LINEAGE0LOCALITY0ID,LINEAGE0LOCALITY0NAME,LINEAGE0LOCALITY0ABBR,PLACETYPE
0340819250,Santiuste,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819250,Santiuste,,,,,localadmin
0340819251,Saúca,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819251,Saúca,,,,,localadmin
0340819252,Sayatón,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819252,Sayatón,,,,,localadmin
0340819254,Selas,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819254,Selas,,,,,localadmin
0340819255,Setiles,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819255,Setiles,,,,,localadmin
0340819256,Sienes,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819256,Sienes,,,,,localadmin
0340819257,Sigüenza,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819257,Sigüenza,,,,,localadmin
0340819258,Solanillos del Extremo,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819258,Solanillos del Extremo,,,,,localadmin
0340819259,Somolinos,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819259,Somolinos,,,,,localadmin
0340819260,"Sotillo, El",,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819260,"Sotillo, El",,,,,localadmin
0340819261,Sotodosos,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819261,Sotodosos,,,,,localadmin
0340819262,Tamajón,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819262,Tamajón,,,,,localadmin
0340819263,Taragudo,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819263,Taragudo,,,,,localadmin
0340819264,Taravilla,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819264,Taravilla,,,,,localadmin
0340819265,Tartanedo,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819265,Tartanedo,,,,,localadmin
0340819266,Tendilla,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819266,Tendilla,,,,,localadmin
0340819267,Terzaga,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819267,Terzaga,,,,,localadmin
0340819268,Tierzo,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819268,Tierzo,,,,,localadmin
0340819269,"Toba, La",,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819269,"Toba, La",,,,,localadmin
0340819270,Tordelrábano,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819270,Tordelrábano,,,,,localadmin
0340819271,Tordellego,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819271,Tordellego,,,,,localadmin
0340819272,Tordesilos,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819272,Tordesilos,,,,,localadmin
0340819274,Torija,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819274,Torija,,,,,localadmin
0340819277,Torrecuadrada de Molina,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819277,Torrecuadrada de Molina,,,,,localadmin
0340819278,Torrecuadradilla,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819278,Torrecuadradilla,,,,,localadmin
0340819279,Torre del Burgo,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819279,Torre del Burgo,,,,,localadmin
0340819280,Torrejón del Rey,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819280,Torrejón del Rey,,,,,localadmin
0340819281,Torremocha de Jadraque,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819281,Torremocha de Jadraque,,,,,localadmin
0340819282,Torremocha del Campo,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819282,Torremocha del Campo,,,,,localadmin
0340819283,Torremocha del Pinar,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819283,Torremocha del Pinar,,,,,localadmin
0340819284,Torremochuela,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819284,Torremochuela,,,,,localadmin
0340819285,Torrubia,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819285,Torrubia,,,,,localadmin
0340819286,Tórtola de Henares,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819286,Tórtola de Henares,,,,,localadmin
0340819287,Tortuera,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819287,Tortuera,,,,,localadmin
0340819288,Tortuero,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819288,Tortuero,,,,,localadmin
0340819289,Traíd,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819289,Traíd,,,,,localadmin
0340819290,Trijueque,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819290,Trijueque,,,,,localadmin
0340819291,Trillo,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819291,Trillo,,,,,localadmin
0340819293,Uceda,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819293,Uceda,,,,,localadmin
0340819294,Ujados,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819294,Ujados,,,,,localadmin
0340819296,Utande,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819296,Utande,,,,,localadmin
0340819297,Valdarachas,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819297,Valdarachas,,,,,localadmin
0340819298,Valdearenas,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819298,Valdearenas,,,,,localadmin
0340819299,Valdeavellano,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819299,Valdeavellano,,,,,localadmin
0340819300,Valdeaveruelo,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819300,Valdeaveruelo,,,,,localadmin
0340819301,Valdeconcha,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819301,Valdeconcha,,,,,localadmin
0340819302,Valdegrudas,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819302,Valdegrudas,,,,,localadmin
0340819303,Valdelcubo,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819303,Valdelcubo,,,,,localadmin
